fold_id,cv_tag,html_id,sent_id,text,tag
7,cv792,3832,20,"her instincts are to mate and procreate , and some of the best scenes deal with her attempts in this area .",pos
7,cv755,23616,17,precious time is stolen from the movie's 155 minutes running time by an unengaging subplot involving one the king's concubines ( bai ling ) and her love of a commoner .,pos
8,cv847,1941,2,the story is told from his wife linda's point of view where she put a lot of family and practical side of bruce lee's life .,pos
5,cv515,17069,4,"both musicians from childhood , hilary ( griffiths ) is renowned flutist while jacqueline ( watson ) is easily as skilled on the cello .",pos
2,cv201,6997,13,"tiptoeing that indistinguishable line between fantasy and reality , boyle employs a healthy dose of surrealism to get the message across .",pos
6,cv641,12349,5,"there is an unnamed capital city that bears all the hallmarks of contemporary civilization : skyscrapers , hospitals , televisions , highways , etc . but , it might as well be in another country because those who live in the comforts of the city have either decided to ignore the violence ravaging the rest of the land , or else they are simply ignorant of it .",pos
1,cv183,18612,18,"sometimes it was hard to believe that this story , with terrible dialogue , some bad acting , especially from craig bierko , and scenes that go absolutely nowhere , are actually true .",pos
6,cv641,12349,3,all people not fitting one of those descriptions are defined only by their powerlessness .,pos
4,cv469,20630,38,brannagh has more or less done that .,pos
5,cv519,14661,40,little does he realize what will happen next .,pos
9,cv936,15954,34,"some of the skinheads are reduced to mere cliches ( kevin smith regular ethan suplee fairs rather annoyingly as the "" fat skinhead , "" whose lines consist without fail of expressing his desire to eat more ) , and even the dramatic arc isn't as well travelled .",pos
9,cv946,18658,62,he still moves and sounds too much like a cartoon to blend into a scene .,pos
2,cv206,14293,33,"artistically , the animators have chosen to adopt the more subdued pastels of chinese artwork , and although this may not live up to the vibrance so associated with many of the other disney works , it helps to contribute a more authentic , and therefore more credible , nature to what otherwise may be seen as a typically "" disneyfied "" ethnic tale .",pos
1,cv111,11473,3,an adult adopted son is looking for his biological parents and encounters eccentric characters along the way .,pos
3,cv370,5221,35,i'll instead suggest that the mpaa re-evaluated their evaluation criteria .,pos
2,cv246,28807,12,osnard offers harry a way out .,pos
3,cv378,20629,20,the film's only fault is that it's a bit tiering and overloaded with too much political material and legal maneuvers .,pos
8,cv803,8207,22,"always known as a director of effects-laden extravaganzas , it comes as no surprise that contact's visual effects are quite stunning .",pos
8,cv811,21386,17,"they are highlighted by one child's return to roberta's class ( coming after the great old hollywood scene where he explains be can't be around anymore because "" my mom said . . . "" ) and a glowing concert .",pos
4,cv401,12605,25,"it's engaging , touching and very enjoyable .",pos
0,cv096,11474,8,a nonplused giles ends up sitting in a darkened room watching buff male and female bodies in various states of undress .,pos
5,cv509,15888,34,"he is , i believe , america's greatest actor .",pos
6,cv601,23453,58,"the prison authorities demanded good hygiene , provided medical care when needed , and "" hard manual labor "" consisted of picking grass !",pos
5,cv540,3421,12,i was right ; castro remained intact .,pos
6,cv673,24714,32,by comparison affleck simply looks as if he were doing a really hammy line reading .,pos
4,cv417,13115,17,"the overdose of humor turns what could have been a powerfully great film into a good , but schizophrenic experience .",pos
3,cv309,22571,49,film also lacks proper closure .,pos
7,cv739,11209,18,"goodman merits 1998's first oscar consideration , as walter's manic temper is one of "" the big lebowski "" 's many highlights ; the same goes for moore , whose throaty , delectable performance as maude is a hilarious hoot .",pos
2,cv243,20728,16,there's also some odd plot points : fbi guys appear and suddenly disappear for no apparent reason .,pos
2,cv276,15684,6,""" living out loud , "" which was written by richard lagravenese ( "" the bridges of madison county "" ) , who is also making his directing debut here , is a wonderful film from beginning to end , one that is honest , genuinely funny , and poignant .",pos
3,cv399,2877,11,the new home in alabama is pretty run-down and depressing and sets carly off on a violent tantrum .,pos
5,cv578,15094,15,"nowhere is this more apparent than in shane's relationship with soap opera actress julie black ( neve campbell ) , a frequent studio 54 patron whom he's long admired from afar .",pos
7,cv732,12245,18,"neeson in particular deserves kudos for his portrayal of a man trying to do good , but continually haunted by his past .",pos
4,cv466,18722,25,"it is the epitome of subtlety : it's powerful without being too emotional , sad without even trying to be depressing .",pos
8,cv829,20289,28,""" bowfinger "" had it's moments , but had quite a few problems that were never worked out , but "" the muse "" still managed to keep the laughs despite a bit of a detour .",pos
9,cv901,11017,17,i give the fifth element .,pos
1,cv101,10175,25,"sex means something different to everyone ? to jeffrey , it's an unpleasant chore , a loss of control ; to marianne , it's a means to a maternal end ; to lucky , it's an enjoyable distraction that blocks out his marital troubles ; and to phyllis , it's a method of establishing or denying emotional closeness .",pos
1,cv105,17990,3,"the story follows a promotional visit to rome by famous american mystery novelist peter neal ( anthony franciosa ) where he discovers that a serial killer is on the loose inspired by his latest book "" tenebrae "" .",pos
6,cv662,13320,1,batting average with elmore leonard adaptations .,pos
6,cv638,2953,34,"this is religion , this is authoritarianism in its essence .",pos
6,cv663,13019,13,( his only duty is to ring a gong . ),pos
3,cv316,6370,7,"the trio of gibson , the kidnappers' mastermind ( gary sinise ) and fbi team leader ( delroy lindo ) play off of each other wonderfully .",pos
9,cv912,5674,24,the frighteners never once feels like it is running long .,pos
5,cv577,28549,28,"while the direction and voice work certainly elevate shrek , the ultimate factor in the film succeeding lies in the screenplay , written by ted elliott , terry rossio , joe stillman , and roger s . h .",pos
2,cv220,29059,18,"clearly not for every taste , when approached with the correct paradigm , it is one of the most stunning and intensely fascinating films of the year : a redefinition of the hero archetype for a post-modern audience with urine-stained wool trench coats in place of blue tights and red capes .",pos
4,cv453,10379,28,"like dicaprio and winslet , zane slips comfortably into his role and plays it well .",pos
2,cv254,6027,3,"if you thought that was completely tasteless and unfunny , don't see curdled .",pos
4,cv486,9799,29,so who will be the next king ?,pos
5,cv553,26915,25,"willis turns in a great performance as the sad sack dunne , who just can't seem to figure out why he's been depressed for the last few years .",pos
6,cv609,23877,10,"meanwhile , the young white girls who like to hang around with rich and his homies get talked into being in a documentary by sam donager ( shields ) and her gay husband terry ( downey jr . ) .",pos
7,cv725,10103,41,""" addicted to love "" is one of this year's most pleasant surprises .",pos
1,cv167,16376,21,"for guido , to save his son , transforms the entire experience into an elaborate game .",pos
2,cv290,11084,19,president martin van buren ( nigel hawthorne ) is willing to force the result towards his own political ends .,pos
4,cv435,23110,7,"jailed for 20 years , he maintained that he had never committed the crimes , but remained in jail after a second trial and countless appeals .",pos
8,cv833,11053,1,"when it comes to modern gangster movies , it's really difficult to describe and review them without making comparisons to other films of the genre and/or just using the word "" routine . """,pos
3,cv326,13295,21,it's well worth seeing if you are a fan of the series .,pos
4,cv440,15243,27,paul schrader's script is = one .,pos
1,cv127,14711,0,urban legend surprised me .,pos
8,cv893,26269,28,"danny has done this , and though he's a fairly honorable guy , who took the job in order to do good , his intentions have gotten a bit skewed along the way .",pos
8,cv844,12690,22,""" bulworth's "" chief liability is beatty's insistence on having his character adopt a clumsy style of rap as his new communication device .",pos
9,cv935,23841,41,"set to camille saint-saens "" the carnival of the animals "" , this segment features a flamingo torturing his fellow flamingos with a yo-yo while they are trying to perform a choreographed dance number .",pos
4,cv450,7890,8,"of course , sooner or later in this industry , betrayal and corruption amount into a force greater than anything else , and tony is one of the ones who fall victim to this force .",pos
3,cv306,10364,2,"but it's intelligently written ( with dialogue that is occasionally brilliant ) , strongly directed , and nicely acted .",pos
7,cv711,11665,0,"in "" the sweet hereafter , "" writer/director atom egoyan takes us beyond the tragedy of death into the tragedy of living .",pos
6,cv698,15253,8,"arab terrorists kill american citizens abroad , and the u . s . responds by retaliating against the sheik whom supposedly ordered the attack .",pos
4,cv494,17389,15,this is also perceptible in the conversations between col . nicholson and col . saito .,pos
4,cv460,10842,36,i know who to root for and who i need to boo too and a gum to chew .,pos
6,cv634,11101,9,"as a child , he was put down because of the threats of genetics , while his younger genetically perfect brother , anton ( loren dean ) , was promised whatever his heart desired .",pos
5,cv521,15828,24,"there's this uneasy feeling of sugar over everything , especially the sequences where george is either in trouble , or helping somebody .",pos
5,cv501,11657,99,"again , the nudity is rather unnecessary , but let's face it--people want to see it .",pos
0,cv049,20471,8,now seeing the trailer it makes you think the whole entire movie is one big special effects show .,pos
3,cv351,15458,5,"before she dies , though , she cannot bear to sign a document which would condemn her half sister to death because of her heretical protestant beliefs .",pos
0,cv054,4230,20,"get shorty is by no means on the same level as pulp fiction , despite the obvious similarities .",pos
5,cv576,14094,11,although this seems to be a far cry from the traditional story it allows for the main plot to proceed with enough room for some imaginative story telling . .,pos
7,cv704,15969,28,"despite never actually becoming great , it's never actually boring and it's always intriguing .",pos
5,cv554,13151,30,"the deception fools everyone but the audience , who thinks she might be able to pass for a 12-year-old boy , at best .",pos
0,cv074,6875,56,"also , for a rather different interpretation of the character wong fei-hong ( who is in fact a popular figure from chinese folklore ) , i've been told to suggest the "" once upon a time in china "" series starring jet li ( though i haven't personally seen any of them yet ) .",pos
9,cv970,18450,14,"visually , star wars : episode i --the phantom menace ( 1999 ) is a kid show where parents can take their young ones to marvel at child-friendly cgi characters and wondrous backdrops even if the character dialogue ( mostly geopolitics ) is beyond the level of children .",pos
1,cv163,10052,30,"there's no question that the primary motivation for , if not the film's reissue itself , at least its timing , was to reinforce disney's dominance in the animation market and provide direct competition to fox's costly new upstart animation division and their first major venture , anastasia .",pos
8,cv828,19831,7,"it is sick , perverse , and ultimately disgusting - not to mention extremely funny .",pos
8,cv846,29497,4,here's yet another cool crime movie that actually manages to bring something new into the mix .,pos
9,cv939,10583,4,many inside jokes were made in reference to horror movies and wes craven .,pos
8,cv810,12458,31,"another important element of the atmosphere is score of great bernard herrman , whose efficient use of jazz elements gives some melancholy that softens the brutality of motion picture .",pos
2,cv279,18329,3,"coalwood is a coal mining town , and , except for the few lucky ones who manage to escape on a football scholarship , most of coalwood's boys are destined to work in the mine .",pos
7,cv789,12136,4,"by attending marie's speech lessons , paulie learns to act/speak like a regular person .",pos
5,cv583,29692,8,"but finding the money isn't easy for powell , who must contend with his stepchildren ( billy chapin and sally jane bruce ) , who know where the money is , but aren't telling .",pos
7,cv735,18801,46,"( c ) 1999 , jamey hughton . . . . . . . . . . . . . . . . . . . . . . . .",pos
9,cv988,18740,3,"what is compelling about the phantom menace is not its disposable story , but its amazing visuals .",pos
5,cv511,10132,42,"overall , it's a thrilling , entertaining film which doesn't really amaze like the first two , but is much more amazing than the third installment .",pos
3,cv328,10373,54,"jackson could've remained tarantino's jules , and a new guy could have become ordell , forever to remain so in our memories .",pos
8,cv846,29497,31,"like , yeah , i know that already , i could see it on the screen ! !",pos
8,cv819,9364,26,"from this moment on , kiss the girls takes on the form of every other serial killer film , as the two leads search for the rest of the victims held captive .",pos
5,cv505,12090,60,"following his retirement , la motta is still as violent and volatile as ever , but he has lost the arena in which he can legally unleash those tendencies .",pos
3,cv303,27520,1,"in fact , they've been around in books and on film for many , many years .",pos
5,cv551,10565,5,"it wasn't one at all but rather a "" phase one assault cyborsuit . """,pos
3,cv300,22284,6,the plot follows edgecomb and four other guards as they meet a variety of prisoners and after having strong relationships with each eventually are forced to execute them .,pos
5,cv548,17731,16,"before directing the last two batman duds , however , schumacher was responsible for several well-made horror flicks : lost boys , flatliners , and falling down .",pos
6,cv665,29538,45,i rate this metaphysical look at isolation a 7 on the 0 to 10 scale and a +2 on the -4 to +4 scale .,pos
3,cv391,10802,47,"holly hunter , who gets extra credit just for appearing in something like this , is pretty good , and so is rosanna arquette ( who adds a kinda cool kinkiness to her role ) .",pos
2,cv246,28807,7,"when shown the bridge of the americas by a person marveling over the fact that , since the creation of the panama canal , the structure is the sole connection between north and south america , he barely keeps from yawning .",pos
9,cv950,12350,12,"bacon is solid , and so is dillon ( while continuing to prove his inability to age to the whole wide wondering world ! ! ) .",pos
0,cv081,16582,7,"the mine , which is run by homer's father ( chris cooper ) , is not the place for homer , however .",pos
2,cv298,23111,28,""" toy story 2 "" is strong in characterization , and is able to expand on what we saw in the first movie .",pos
8,cv833,11053,11,"the first act works as a guided to ot of rhetoric about wiseguy honor , a brief history of the mob , definitions of their slang , and where their money comes from and who it goes to .",pos
8,cv817,4041,21,"and in an awful lot of vegas shows , an awful lot of ladies wear very little clothing .",pos
1,cv175,6964,14,"the movie is also full of experimental stylistics that are relatively unused today , but probably because of that seem curiously fresh and new in van peebles' hands .",pos
0,cv027,25219,3,seventeen years later scorsese returned to mean streets of new york with another film that dealt with darker side of american organised crime .,pos
1,cv151,15771,5,dreamworks' the prince of egypt succeeds where all of the other conventionally animated products have failed .,pos
4,cv435,23110,40,it's too bad .,pos
5,cv596,28311,28,""" shrek "" is a definite kid film , but not just a kid film for it is a film for the entire family to enjoy .",pos
6,cv653,19583,24,"it's typical , for instance , that the fianc ? in this sort of plot be a colossal jerk , because it makes it easier to empathize with the unrequited lover .",pos
8,cv871,24888,18,robert towne's screenplay takes some of the conventions set up in the first film and parodies them during a sequence where ethan must break into a high-rise building and retrieve the remaining specimens of the virus .,pos
5,cv525,16122,38,"their persistence is rewarded with what might be called a "" feel-good "" ending elsewhere , but not here , because this ending differs in kind from most such endings : this one has truly been earned .",pos
2,cv266,25779,10,"one day , a crew of the cops - lead by gary oldman in an over-the-top performance - kills her entire family while mathilda is out buying groceries .",pos
6,cv636,15279,3,"even seeing it in the tiny , claustrophobic , and mechanically-challenged theatre at my college wasn't the horribly dull experience i thought it would be , not just because of the nicely rowdy crowd ( which you almost need to watch a film like this - and if you don't believe me , try and watch this flick by yourself one day ) , but because as a whole , this isn't a bad movie .",pos
3,cv394,5137,6,"torn , in particular , is in vintage comic form , and he walks away with the picture .",pos
4,cv436,19179,60,"also , the level of technology portrayed in the film is too advanced to take place before the first decade of the next century .",pos
1,cv176,12857,14,"also , after an accident towards the end of the movie , both stuart and the audience learn that there is more to his mother than previously thought .",pos
2,cv247,13142,20,"at first , i kind of felt that it was a gimmick , but i guess it was a gimmick in pulp fiction , too .",pos
4,cv437,22849,34,"during the film , the audience is as confused as the characters : detached from their everyday existence and no longer able to see the difference between the real world and the alternative reality that they have created .",pos
3,cv362,15341,21,he and cinematographer remi adefarasin have crafted a film with a rich color palette that is a feast for the eyes .,pos
2,cv265,10814,26,"it seems anderson saw the film was going on a bit , and needed to wrap up quickly .",pos
0,cv089,11418,2,"harry has spent the last couple of years doing odd jobs for jack and catherine ames ( gene hackman and susan sarandon ) , a pair of married actors who have fallen from the limelight .",pos
1,cv179,9228,20,"egoyan is a fine , fine , postmodern storyteller , whose work is entertaining , edgy and smart , if a bit too intellectual at times .",pos
6,cv616,29319,6,"josh hartnett ( pearl harbor ) is on hand for the villainy , playing the scheming hugo , who sets the tragic wheels in motion .",pos
5,cv538,28667,20,his is one of the best gangster characters i've seen in years .,pos
5,cv531,26486,17,"the movie is filled with dreamy , symbolic images of pure artistic craftsmanship , that create a surreal and occasionally paranoiac atmosphere .",pos
2,cv248,13987,21,"it's a rarity that a film so completely immerses itself into a protagonist's warped perspective of his surrounding , and high contrast black-and-white cinematography combined with constant usage of extreme close-ups lend a heightened sense of paranoia to the proceedings .",pos
4,cv414,10518,36,"it grabs our attention and is actually interesting , and in many respects , this makes jackie brown a film which needs few visuals ; the lines are a form of art in and amongst themselves .",pos
9,cv920,29622,0,"in zoolander , the world's most successful , influential and intellectually-challenged male model derek zoolander wonders , "" is there more to life than being really really really good looking ? """,pos
3,cv321,12843,27,"the exception is at the very beginning , where they speak into the camera , wholeheartedly believing that their participation is truly good for truman , and for society in general .",pos
6,cv699,7223,23,"they end up travelling right across america , visiting places such as the hoover dam and washington dc .",pos
1,cv174,9659,9,"event horizon is a sci-fi horror film , much truer to the word than say , alien would ever be .",pos
4,cv496,10530,20,"he takes a cab to his half-witted girlfriend's apartment , and to make a long story short , ends up going back to his own place to retrieve a gold watch , sort of a family heirloom explained by christopher walken in a hilarious flash-back sequence .",pos
8,cv884,13632,26,"little known facts : the farrellys big break came when they somehow got a copy of their script "" dust to dust "" into the hands of eddie murphy via ? murphy's neighbour .",pos
7,cv745,12773,7,"yes , every member of the household has their own special problems , but the writer didn't choose to name so many characters for various flowers by accident .",pos
8,cv852,27523,16,"but then i thought about trying to pitch the idea to a modern-day movie executive : "" okay , it's going to be almost four hours long and shot over three months on location in the sahara desert .",pos
4,cv413,7398,19,it is interesting to imagine what power the film would have lost if it had been scored by someone else .,pos
6,cv601,23453,52,"thailand's culture , contrary to most opinion , comes off much better by comparison .",pos
9,cv966,28832,7,"her bank advises her that without access to jean's account , she needs to reduce her spending .",pos
8,cv869,23611,18,"devon sawa , a rising star who put his physical comedy skills to good use in 1999's underseen slasher-comedy , "" idle hands , "" is even more of a charismatic presence here .",pos
4,cv437,22849,17,"after the engaging beginning , it starts to falter .",pos
7,cv711,11665,24,"to him , the town should be able to take care of its own pain , and it doesn't need outsiders like stephens getting in the way .",pos
9,cv907,3541,30,"the strip dancer becomes the proverbial daughter , the dj becomes the proverbial killer by means of breaking the relationship between the father and the proverbial daughter .",pos
8,cv804,10862,25,the screenplay provides good characterization and actually deals with most of the problems head-on in realistic manners .,pos
0,cv052,29378,7,the script is unlike any i have ever seen -- a notable achievement in these days of recycled hollywood homogeneity .,pos
2,cv246,28807,23,"after gaining fame playing larger than life characters , rush flips everything around for this role , using his energy to depict the quiet desperation of a man slowly realizing that the solution to his troubles may be worse than the original problems .",pos
6,cv612,5461,48,"one thing i find particularly worthy of mention is that , at least in the copy i have , the screen was wider than any film i've ever seen on videotape before--almost a whole 1/3 of the screen was blocked out above and below .",pos
3,cv358,10691,25,"i loved how each of the different parts of the plot mattered , and sometimes spilled over into the next .",pos
0,cv078,14730,11,"ed harris brings an extreme intensity to christoff , the megalomaniac creator of the show .",pos
6,cv692,15451,22,the story structure is also similar as each segment is introduced with title cards read by the aforementioned mice .,pos
4,cv479,5649,18,"id4 was produced under a modest budget of us$68 million , a film of such magnitude would have easily been another waterworld but director roland emmerich ( universal soldier , stargate ) and producer dean devlin assembled a team which did their own special effects rather than commissioning it to ilm or any other special effects company .",pos
6,cv665,29538,42,seeing black silhouettes on computer screens is not immediately scary .,pos
1,cv115,25396,28,"the "" braveheart "" reference is a hoot if you catch it .",pos
9,cv984,12767,7,"what makes the film so entertaining is that this preppie , harvard-educated jet set actually have something to say and say it with wit , perception , and style ( including , at one point , a riotously inventive deconstruction of "" the lady and the tramp "" ) .",pos
5,cv599,20988,28,"also , some of the jokes can be seen coming from a mile away .",pos
4,cv475,21692,36,ben however was all out and got very much into his character as well as the story .,pos
9,cv982,21103,2,"first of all , the casting for this film is great .",pos
9,cv977,4938,23,"he was excellent , as the timid altar-boy turned alleged "" butcher boy of st . mike's "" .",pos
1,cv165,22619,23,it is interesting that one starts to look forward to actors from anderson's company .,pos
6,cv676,21090,33,"it's a complicated , unforgettable film that , like the ice storm two years ago , dares to explore the darkest reaches of suburban life .",pos
2,cv256,14740,16,"in my opinion , dante's peak came out way ahead of its predecessor , both in time and in quality .",pos
1,cv115,25396,27,"there's even a nod to "" the blues brothers , "" if you can believe it , and the filmmakers even get in a little light-hearted ribbing at the expense of their star voice actor , taking a couple of very subtle jabs at mel gibson's nationality and film history .",pos
3,cv372,6552,1,"if you do not like beavis and butthead , do not go to see this movie ! ! ! ! !",pos
6,cv638,2953,101,mickey : you got the feelin' ?,pos
0,cv038,9749,2,"some people simply call it "" trash "" .",pos
6,cv607,7717,16,""" back to the future part ii "" is a really great adventure movie .",pos
4,cv410,24266,20,"dvd-rom features are also on the disc , including web links and a demo of the stuart little cd-rom game .",pos
9,cv964,6021,17,"turns out alain was separated at birth from his twin brother , michael , who has been killed by some russian heavies ( and some strangely american looking cops ) .",pos
4,cv414,10518,47,"in fact , one might even be able to say that the way in which these "" offensive "" words are employed almost cause them to parody themselves and therefore transcend their own offensiveness .",pos
0,cv021,15838,25,i don't think it's that big of a deal that the federation wanted to move 600 ba'ku in order to save the lives of thousands .,pos
9,cv945,12160,16,"angels have the limited power to soothe humans in time of misery and pain , and seth does what he can with his invisible touch , but it's not enough .",pos
4,cv427,10825,25,the pates employ a number of interesting techniques to present vignettes from elizabeth's final days and hours .,pos
3,cv337,29181,12,"there's yet another problem , though - his partner nagle ( raymond barry , "" dead man walking "" ) is a harder cored criminal who won't let up until his share of the money is delivered .",pos
9,cv931,17563,0,"like the great musical pieces of mozart himself , amadeus is a true work of art .",pos
2,cv251,22636,8,"the detailed character analyses and the powerful script make "" magnolia "" memorable .",pos
3,cv345,9954,94,"while kubrick may have a moral message throughout his films , fincher relies on cinematic devices to bring his meanings out .",pos
4,cv421,9709,13,"the easiest way to write a review of this film would be to compare it to other science fiction films , and i may have to .",pos
0,cv085,1381,29,in fact i would guess to say that there is more in alien 3 than either of the earlier two .,pos
8,cv888,24435,20,"he wants to go back to his family and his crops , he wants a quiet life .",pos
6,cv632,9610,19,"these bland ken-and-barbie archetypes serve the story adequately enough to keep any distractions at arm's length , but restrain the film from achieving a higher ground a la "" star wars , "" where even the slightest aliens had definite personality .",pos
7,cv778,17330,25,these points and the sometimes ironic dialogue make this film an anti-war film ( despite inconsistencies in the treatment of this theme ) .,pos
7,cv753,10875,28,"there is just too much to cover , too much that is truly worthy of celebration , for a protracted political analysis to be justified .",pos
7,cv710,22577,3,"but , in something of a pseudo- `groundhog day' approach , director tom tykwer gives lola three separate chances to best navigate her way toward the goal .",pos
3,cv342,19456,18,"to those raised on the brainless action fare that pollutes movie theaters these days , the andromeda strain will probably seem interminably slow .",pos
5,cv520,12295,10,"he is approached by interpol official who asks him to join tri-annual martial arts tournament that is held on a remote island , owned and controlled by han , renegade shaolin monk .",pos
9,cv927,10681,3,a group of monks enters a village and a two-year-old child catches their attention .,pos
7,cv762,13927,14,"through various legal proceedings , the case appears before the supreme court , where it is argued by ex-president john quincy adams ( anthony hopkins ) .",pos
8,cv801,25228,15,"the goal in the movie is not in literally landing the big kahuna , but in finding out what bill of goods they sold themselves that made them be salesmen .",pos
9,cv934,19027,6,"at first , boone doesn't realize that whale is gay and grows fascinated with the old man .",pos
4,cv454,2053,11,the premise is a simple one .,pos
2,cv273,29112,1,"when he is laid off from his job , after discovering the address of the father who abandoned him before he was born , he decides to journey to marseilles , in the south , to find the man he never met in "" the adventures of felix . """,pos
7,cv765,19037,59,"finally , the studio locked the film in the film vault and denied that it ever even was released .",pos
2,cv222,17395,1,"in the context of events to transpire , joe's line is prophetic , foreshadowing the internal conflict of the protagonist in the latter half of the film .",pos
4,cv460,10842,3,heh !,pos
0,cv099,10534,46,"this is not a great motion picture , but , considering how bad most january releases are , it's a reasonably entertaining way to spend two hours .",pos
1,cv133,16336,14,this film marks his return .,pos
8,cv819,9364,45,"cary elwes portrays a cop in north carolina , and unfortunately has scraps for a character .",pos
2,cv208,9020,42,i think .,pos
0,cv031,18452,1,"you've seen all their faces - natalie portman ( the professional ) as queen amidala , liam neeson ( schindler's list ) as qui-gon jinn , ewan mcgregor ( trainspotting ) as obi-wan kenobi , and jake lloyd ( jingle all the way ) as young anakin skywalker .",pos
1,cv186,2269,10,"he turns to his brother frank ( harvey fierstein ) , a theatrical makeup artist , and emerges as euphegenia doubtfire , a matronly 65-year-old englishwoman .",pos
1,cv165,22619,47,it seems unlikely the frogs would still be alive when dropped .,pos
4,cv494,17389,26,"david lean's effective and atmospherically perfect direction creates a high suspense , especially in the dramatic ( though not wholly plausible ) showdown .",pos
0,cv099,10534,37,"both appear to be sleepwalking their way through the parts , as if they know that their contribution to the film is one of advancing the plot rather than developing a multi-dimensional individual .",pos
9,cv995,21821,8,"john cusack plays a puppeteer craig schwartz a man out of a job , in search of a job .",pos
3,cv324,7082,12,"over the course of their interactions , interest on both their parts grows into a budding romance .",pos
6,cv637,1250,17,"carvey is okay as garth , but he lacks the spark myers puts into wayne .",pos
7,cv797,6957,2,i quite enjoyed manhatten murder mystery and everything . . .,pos
4,cv497,26980,4,john travolta plays the local big-shot tv weatherman who is idolized by the townsfolk as if he were john travolta himself and not the bumbling russ richards .,pos
3,cv321,12843,24,rounding out the cast is natascha mcelhone ( mrs .,pos
6,cv606,15985,2,"comments : "" star trek : the next generation "" was a hugely successful sequel tv series to "" star trek , "" a science fiction series which developed a devoted fan following in the 1970s .",pos
1,cv129,16741,13,"in certain parts it manages to sink to the level of a "" saturday night live "" spinoff -- a number of humorous skits connected by a token plot -- but in the movie's second half the script's circular nature becomes admirably obvious .",pos
4,cv445,25882,52,"anette bening is enjoyable and believable as a shadowy cia operative who prefers espionage , a network of snitches and seduction to gather information . .",pos
9,cv963,6895,5,"while "" everyone's "" production numbers make an otherwise ordinary woody tale something special , jane campion's imaginative visuals only serve to emphasize how pompous and uninvolving laura jones' script is .",pos
8,cv895,21022,14,"so is finding the treasure , until the four men realize the magnitude of discord still breathing in iraq : saddam's men are threatening the dictator's detractors ( citizens of his own country ) with violence .",pos
1,cv115,25396,47,"one might have expected this inevitable joke to come off as wearisome , but as with most of "" chicken run , "" it comes as a delightful surprise .",pos
3,cv305,9946,3,"usually all you can get out of me is a warm smile , so to get me laughing out loud , and so frequently , is a really good sign .",pos
5,cv550,22211,1,on second glance it looks that way too .,pos
1,cv164,22447,21,3 ) the comic situations .,pos
5,cv502,10406,25,a scene where the postman is on horseback and grabs a letter from the hands of a bright-eyed child is embarrassing in its slow-motion banality .,pos
9,cv951,10926,22,"the amount of light , touching drama also comes as a nice surprise , never feeling off-balance from the otherwise highly upbeat moments of the film .",pos
